Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary
123,SHERIDAN 2,11,26,53,1107,167,1,37,0.881,17,0.9,1258,0.727,0.727,0.867,0.603,0.867,0.603,14.626,1,0,1,0,0,0,1,0,1,7,3,10,0,0,0,0,0,0,74,17,91,103,99.87,49535
130,CHERRY CREEK 5,311,4955,6218,10979,29199,154,3841,0.475,17,0.3,53956,0.9,0.912,0.924,0.877,0.931,0.893,21.35575758,7,1,8,41,8,49,51,25,76,140,51,191,1,1,2,49,18,67,2165,695,2860,3253,3110.23,71711
140,LITTLETON 6,53,476,203,2739,11487,23,662,0.266,17,0.17,14966,0.896,0.908,0.919,0.872,0.927,0.889,23.77434783,1,0,1,3,0,3,2,2,4,32,7,39,0,0,0,2,1,3,629,183,812,862,835.14,66399
170,DEER TRAIL 26J,0,0,0,58,143,0,4,0.302,17,0.51,181,0.857,0.929,0.889,0.8,0.889,1,11.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,21,21,17.85,41582
180,ADAMS-ARAPAHOE 28J,339,2050,7622,22116,6866,269,1658,0.832,17,0.69,39060,0.676,0.687,0.706,0.648,0.715,0.66,21.77354839,3,1,4,32,14,46,57,34,91,136,55,191,4,0,4,32,12,44,1366,443,1809,2189,2154.03,54742
190,BYERS 32J,38,22,134,826,1715,6,131,0.403,17,0.43,2829,0.593,0.653,0.602,0.584,0.663,0.644,54.11142857,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,1,1,53,13,66,70,80.64,35005
220,ARCHULETA COUNTY 50 JT,81,18,8,570,933,0,50,0.438,17,0.52,1660,0.842,0.868,0.9,0.778,0.925,0.806,15.77,0,0,0,2,0,2,0,0,0,8,2,10,0,0,0,0,0,0,68,24,92,104,99.59,42690
230,WALSH RE-1,2,0,1,27,134,0,4,0.202,17,0.6,141,1,1,1,1,1,1,10.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17,17,15.88,38349
250,SPRINGFIELD RE-4,5,0,4,58,252,0,22,0.261,17,0.66,295,0.846,0.846,0.833,0.857,0.833,0.857,11.675,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,19,6,25,27,28.36,34781
290,LAS ANIMAS RE-1,8,4,39,1019,632,1,16,0.632,17,0.88,1687,0.662,0.662,0.663,0.662,0.663,0.662,43.86833333,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,1,1,2,26,8,34,41,42.24,37128
310,MC CLAVE RE-2,1,0,2,0,248,0,5,0.031,17,0.54,239,0.926,0.926,0.889,0.944,0.889,0.944,12.255,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,24,20.73,36784
470,ST VRAIN VALLEY RE 1J,112,1026,292,9629,20534,56,772,0.367,17,0.31,30970,0.836,0.859,0.873,0.8,0.886,0.833,20.45901961,7,1,8,9,3,12,2,6,8,80,15,95,1,0,1,0,0,0,1324,395,1719,1843,1783.45,55320
480,BOULDER VALLEY RE 2,96,1741,291,5853,21555,34,1712,0.311,17,0.19,30391,0.913,0.929,0.93,0.897,0.942,0.917,17.39754386,3,1,4,18,7,25,5,8,13,122,38,160,3,0,3,15,8,23,1227,427,1654,1882,1716.89,75220
490,BUENA VISTA R-31,3,9,8,127,889,1,22,0.161,17,0.34,971,0.877,0.89,0.892,0.861,0.892,0.889,12.7125,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,54,21,75,78,73.94,43504
500,SALIDA R-32,6,8,4,185,1001,0,51,0.202,17,0.4,1196,0.766,0.809,0.805,0.736,0.854,0.774,12.11666667,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,61,26,87,95,92.22,42470
510,KIT CARSON R-1,0,1,0,21,84,0,3,0.229,17,0.5,100,0.8,0.8,1,0.75,1,0.75,7.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12,5,17,18,15.06,40289
520,CHEYENNE COUNTY RE-5,0,0,1,17,161,0,0,0.101,17,0.52,165,0.941,0.941,1,0.9,1,0.9,10.205,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,6,17,18,17.25,42032
540,CLEAR CREEK RE-1,11,9,4,85,667,0,32,0.175,17,0.27,737,0.81,0.845,0.941,0.625,0.971,0.667,15.358,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,41,13,54,58,57.06,42694
550,NORTH CONEJOS RE-1J,4,0,7,559,448,0,10,0.564,17,0.7,1028,0.883,0.896,0.914,0.857,0.943,0.857,15.384,0,0,0,0,0,0,0,0,0,12,5,17,0,0,0,0,0,0,35,20,55,72,70.7,42221
560,SANFORD 6J,2,0,1,112,249,0,5,0.325,17,0.54,346,1,1,1,1,1,1,14.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,17,7,24,27,25.35,42212
580,SOUTH CONEJOS RE-10,0,0,0,174,7,0,0,0.961,17,0.64,181,0.727,0.727,0.8,0.667,0.8,0.667,9.39,0,0,0,0,0,0,0,0,0,11,3,14,0,0,0,0,0,0,3,5,8,22,18.5,40631
640,CENTENNIAL R-1,0,0,2,201,7,0,0,0.967,17,0.92,196,0.8,0.8,0.75,0.833,0.75,0.833,10.29,0,0,0,0,0,0,0,0,0,7,2,9,0,0,0,0,0,0,7,5,12,21,20.31,38505
740,SIERRA GRANDE R-30,2,0,3,217,61,1,4,0.788,17,0.85,264,1,1,1,1,1,1,13.09,0,0,0,0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,9,3,12,26,22,38889
770,CROWLEY COUNTY RE-1-J,7,0,9,246,172,0,6,0.609,17,0.53,440,0.828,0.897,0.8,0.857,0.867,0.929,14.085,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,23,7,30,32,31.17,35893
860,CUSTER COUNTY SCHOOL DISTRICT C-1,4,0,7,9,367,0,10,0.076,17,0.52,371,0.87,0.913,0.929,0.778,0.929,0.889,14.98333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21,5,26,27,25.65,38436
870,DELTA COUNTY 50(J),31,58,27,1149,3657,4,132,0.277,17,0.54,4735,0.88,0.893,0.876,0.884,0.887,0.899,26.70277778,1,0,1,1,1,2,0,0,0,6,10,16,1,0,1,0,0,0,192,84,276,296,282.83,44401
880,DENVER COUNTY 1,581,2984,11901,50292,22101,296,3639,0.759,17,0.67,86863,0.666,0.692,0.724,0.61,0.743,0.645,15.02304348,11,4,15,68,25,93,184,91,275,774,284,1058,3,5,8,131,49,180,3518,1172,4690,6319,6109.71,50757
890,DOLORES COUNTY RE NO.2,4,0,0,15,227,0,4,0.092,17,0.56,225,0.818,0.818,0.8,0.833,0.8,0.833,11.30666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,20,20,19.46,40632
900,DOUGLAS COUNTY RE 1,307,3384,921,9808,49738,84,3355,0.264,17,0.12,65786,0.904,0.918,0.928,0.881,0.938,0.899,20.13033333,3,5,8,5,2,7,44,5,49,113,31,144,13,4,17,0,0,0,2653,766,3419,3644,3526.56,53080
910,EAGLE COUNTY RE 50,34,63,37,3578,3088,1,130,0.554,17,0.36,6663,0.708,0.718,0.743,0.681,0.752,0.691,15.113,1,0,1,3,1,4,0,0,0,34,10,44,1,0,1,2,0,2,348,100,448,500,469.98,47917
920,ELIZABETH C-1,20,18,14,235,2117,1,71,0.145,17,0.18,2335,0.839,0.865,0.886,0.798,0.898,0.837,52.04375,0,1,1,0,1,1,0,0,0,2,1,3,0,0,0,0,0,0,116,37,153,158,143.93,40471
930,KIOWA C-2,1,0,1,34,219,1,7,0.167,17,0.37,240,1,1,1,1,1,1,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23,23,21.75,34597
940,BIG SANDY 100J,4,0,0,31,276,1,11,0.146,17,0.4,296,0.833,0.875,0.9,0.786,1,0.786,12.05333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,8,28,29,26.02,40382
950,ELBERT 200,3,1,0,4,212,4,2,0.062,17,0.23,212,0.941,1,1,0.9,1,1,10.855,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,16,3,19,21,20.58,36981
970,CALHAN RJ-1,8,6,34,41,364,0,5,0.205,17,0.47,428,0.87,0.87,1,0.75,1,0.75,16.94333333,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,21,9,30,32,28.1,38265
980,HARRISON 2,98,231,1629,5907,2936,122,848,0.751,17,0.75,11771,0.824,0.837,0.893,0.761,0.901,0.779,17.36576923,6,1,7,13,4,17,27,7,34,15,6,21,8,2,10,14,8,22,478,148,626,737,734.87,43171
990,WIDEFIELD 3,64,121,854,2825,4731,137,963,0.512,17,0.45,9258,0.82,0.831,0.886,0.764,0.892,0.778,17.659375,5,3,8,2,2,4,14,3,17,0,0,0,2,1,3,22,2,24,387,110,497,553,547.77,44349
1000,FOUNTAIN 8,93,96,960,2010,4168,170,841,0.5,17,0.51,7982,0.85,0.865,0.878,0.823,0.882,0.849,17.07923077,4,3,7,9,1,10,12,6,18,38,14,52,1,0,1,0,0,0,325,93,418,506,500.94,49206
1010,COLORADO SPRINGS 11,196,437,2086,8526,14045,100,2037,0.488,17,0.59,26751,0.691,0.702,0.744,0.642,0.748,0.659,16.37392857,5,2,7,15,5,20,32,22,54,96,31,127,3,2,5,18,10,28,1068,366,1434,1675,1641.27,49076
1020,CHEYENNE MOUNTAIN 12,21,211,130,851,3629,16,362,0.305,17,0.16,5084,0.964,0.967,0.98,0.944,0.98,0.951,15.35818182,2,0,2,2,1,3,1,1,2,7,6,13,0,0,0,3,0,3,253,82,335,358,353.44,46665
1030,MANITOU SPRINGS 14,6,13,15,113,1179,1,73,0.158,17,0.29,1361,0.941,0.949,0.952,0.927,0.968,0.927,13.8425,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,64,34,98,101,99.37,44402
1040,ACADEMY 20,103,1068,786,3592,18502,68,1712,0.284,17,0.13,25444,0.899,0.916,0.918,0.88,0.933,0.898,16.79222222,4,0,4,18,0,18,8,4,12,77,19,96,1,0,1,23,3,26,1126,335,1461,1618,1533.01,48790
1050,ELLICOTT 22,5,10,35,335,637,4,29,0.396,17,0.62,964,0.84,0.84,0.909,0.786,0.909,0.786,15.61,0,0,0,0,1,1,1,1,2,2,2,4,0,0,0,0,0,0,42,18,60,67,67.55,38432
1060,PEYTON 23 JT,2,9,14,65,504,1,29,0.192,17,0.29,603,0.862,0.862,1,0.809,1,0.809,16.3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,40,40,39.14,39435
1070,HANOVER 28,6,1,8,87,170,3,0,0.382,17,0.64,255,0.9,0.9,1,0.833,1,0.833,10.01666667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,7,21,22,21.6,40151
1080,LEWIS-PALMER 38,26,153,82,685,5468,6,283,0.184,17,0.08,6461,0.954,0.954,0.962,0.948,0.962,0.948,17.66333333,1,0,1,3,0,3,0,0,0,6,2,8,0,0,0,8,3,11,291,81,372,395,368.22,47465
1110,FALCON 49,158,457,1139,5680,12200,87,1727,0.431,17,0.3,21078,0.581,0.6,0.603,0.56,0.617,0.584,19.4972,6,1,7,11,7,18,17,10,27,32,14,46,2,0,2,0,0,0,729,211,940,1040,1048.21,42857
1120,EDISON 54 JT,0,1,2,23,198,0,4,0.132,17,0.43,220,0.739,0.739,0.667,0.818,0.667,0.818,26.48333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,15,15,14.82,35782
1130,MIAMI/YODER 60 JT,1,0,2,84,205,0,11,0.323,17,0.52,279,0.64,0.68,0.923,0.333,0.923,0.417,15.18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,20,21,21.03,38836
1140,CANON CITY RE-1,23,24,11,527,2825,3,142,0.205,17,0.57,3555,0.769,0.8,0.822,0.712,0.837,0.76,15.70125,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,168,63,231,237,227.39,47410
1150,FREMONT RE-2,2,5,10,228,1059,2,40,0.213,17,0.57,1346,0.811,0.811,0.857,0.782,0.857,0.782,14.775,0,0,0,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,62,26,88,96,93.54,42370
1160,COTOPAXI RE-3,1,3,2,20,180,0,6,0.151,17,0.58,197,0.923,0.923,1,0.909,1,0.909,11.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,20,19.68,37847
1180,ROARING FORK RE-1,19,49,20,3094,2357,2,96,0.582,17,0.46,5442,0.861,0.864,0.91,0.819,0.91,0.823,14.87230769,1,0,1,1,0,1,0,0,0,19,8,27,0,0,0,0,0,0,297,73,370,399,379.89,50214
1195,GARFIELD RE-2,10,21,18,2292,2363,3,106,0.509,17,0.49,4644,0.851,0.875,0.913,0.793,0.92,0.833,17.168,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,1,2,3,200,82,282,295,284.08,44488
1220,GARFIELD 16,10,1,8,409,704,1,47,0.403,17,0.59,1076,0.795,0.808,0.914,0.684,0.943,0.684,16.3025,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,53,23,76,77,76.21,47984
1330,GILPIN COUNTY RE-1,0,3,8,63,391,2,21,0.199,17,0.36,447,0.87,0.87,1,0.8,1,0.8,14.01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,27,8,35,37,34.97,46583
1340,WEST GRAND 1-JT,2,0,3,127,266,0,8,0.345,17,0.45,406,0.892,0.919,0.952,0.813,0.952,0.875,10.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,38,38,38.18,41474
1350,EAST GRAND 2,16,3,10,192,1048,8,24,0.194,17,0.24,1243,0.909,0.932,0.894,0.927,0.915,0.951,13.8925,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,76,19,95,98,94,48090
1360,GUNNISON WATERSHED RE1J,6,9,12,323,1677,1,45,0.191,17,0.23,1998,0.951,0.951,0.983,0.921,0.983,0.921,36.84428571,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,108,34,142,144,137.33,45854
1380,HINSDALE COUNTY RE 1,5,0,1,3,84,1,2,0.125,17,0.34,85,0.75,0.833,0.571,1,0.714,1,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,13,12.88,37970
1390,HUERFANO RE-1,20,5,5,317,203,0,3,0.633,17,0.79,520,0.829,0.854,0.947,0.727,0.947,0.773,18.62666667,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,17,7,24,29,28.61,37725
1400,LA VETA RE-2,0,0,0,60,164,0,3,0.278,17,0.53,210,1,1,1,1,1,1,10.835,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,15,7,22,25,20.94,40939
1410,NORTH PARK R-1 ,0,0,0,39,147,0,0,0.21,17,0.55,163,1,1,1,1,1,1,9.06,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,19,2,21,23,20.54,41166
1420,JEFFERSON COUNTY R-1,533,2730,1040,21041,57272,136,3360,0.335,17,0.32,83144,0.835,0.849,0.87,0.802,0.88,0.82,20.11126506,16,12,28,33,9,42,1,6,7,224,67,291,5,1,6,58,13,71,3372,1121,4493,4938,4690.47,57154
1430,EADS RE-1,0,0,5,22,156,0,1,0.152,17,0.45,161,1,1,1,1,1,1,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,20,20,17.45,37311
1450,ARRIBA-FLAGLER C-20,0,1,0,14,160,0,3,0.101,17,0.57,157,0.765,0.765,0.667,0.818,0.667,0.818,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,18,18,16.92,37962
1460,HI-PLAINS R-23,5,1,2,16,83,0,0,0.224,17,0.53,94,0.846,0.846,1,0.714,1,0.714,7.74,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,15,13.95,35846
1480,STRATTON R-4,5,0,1,48,173,0,1,0.241,17,0.56,199,1,1,1,1,1,1,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,5,19,20,17.55,36931
1490,BETHUNE R-5,0,2,0,38,70,0,2,0.375,17,0.77,105,0.909,1,0.75,1,1,1,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,18,18,13.27,40446
1500,BURLINGTON RE-6J,10,9,8,321,425,0,8,0.456,17,0.64,719,0.794,0.794,0.815,0.778,0.815,0.778,15.44666667,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,1,3,31,12,43,49,49.16,34935
1510,LAKE COUNTY R-1,5,1,3,720,289,1,17,0.721,17,0.64,940,0.547,0.547,0.606,0.5,0.606,0.5,35.75,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,1,38,21,59,63,61.25,40508
1520,DURANGO 9-R,233,43,60,1024,3684,4,203,0.298,17,0.31,5077,0.826,0.854,0.84,0.813,0.885,0.825,23.74571429,5,2,7,4,1,5,0,2,2,12,7,19,1,0,1,1,1,2,278,89,367,403,383.21,47313
1530,BAYFIELD 10 JT-R,38,10,4,206,1071,2,46,0.222,17,0.31,1341,0.911,0.956,0.952,0.875,0.976,0.938,17.96666667,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,53,20,73,77,76.5,47039
1540,IGNACIO 11 JT,232,5,1,293,216,1,38,0.725,17,0.68,786,0.75,0.783,0.833,0.694,0.833,0.75,11.91,1,0,1,0,0,0,0,0,0,5,3,8,0,1,1,1,1,2,39,17,56,68,66.75,41866
1550,POUDRE R-1,151,910,362,5416,22027,48,1105,0.266,17,0.3,29190,0.786,0.817,0.814,0.761,0.841,0.796,16.91653846,3,3,6,11,4,15,3,2,5,77,31,108,1,0,1,5,2,7,1295,423,1718,1860,1743.76,54140
1560,THOMPSON R2-J,78,182,197,3360,11919,23,519,0.268,17,0.39,15717,0.791,0.813,0.824,0.759,0.845,0.782,17.24914286,3,1,4,9,1,10,0,1,1,27,8,35,0,0,0,0,0,0,655,240,895,945,910.2,49572
1570,ESTES PARK R-3,6,30,9,302,782,2,10,0.315,17,0.41,1103,0.953,0.965,0.95,0.956,0.975,0.956,21.5875,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,1,0,1,53,26,79,84,76.8,49992
1580,TRINIDAD 1,8,6,15,710,229,0,14,0.767,17,0.74,982,0.828,0.844,0.839,0.818,0.839,0.848,17.185,0,0,0,0,0,0,0,0,0,14,1,15,6,3,9,3,0,3,23,7,30,57,57.05,44863
1590,PRIMERO REORGANIZED 2,4,0,0,99,86,0,3,0.552,17,0.64,180,1,1,1,1,1,1,9.53,1,0,1,1,0,1,0,0,0,5,4,9,0,0,0,0,0,0,8,4,12,23,20.67,40470
1600,HOEHNE REORGANIZED 3,0,4,1,199,152,1,2,0.577,17,0.42,359,0.958,1,1,0.941,1,1,16.43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,21,21.85,40952
1620,AGUILAR REORGANIZED 6,2,0,0,68,53,0,0,0.569,17,0.66,109,1,1,1,1,1,1,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,12,11.55,35170
1750,BRANSON REORGANIZED 82,2,2,12,95,343,0,8,0.258,17,0.2,462,0.767,0.767,0.76,0.778,0.76,0.778,13.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,32,32,31.2,38755
1760,KIM REORGANIZED 88,0,0,3,4,50,0,0,0.123,17,0.65,51,1,1,0,1,0,1,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11,11,9.85,30673
1780,GENOA-HUGO C113,1,0,4,17,168,0,0,0.116,17,0.43,166,0.846,0.846,0.857,0.833,0.857,0.833,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19,19,18,37470
1790,LIMON RE-4J,2,5,4,62,387,7,9,0.187,17,0.47,476,0.833,0.917,0.857,0.824,1,0.882,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,34,34,32.82,37675
1828,VALLEY RE-1,11,9,23,583,1607,4,54,0.299,17,0.5,2107,0.842,0.862,0.889,0.8,0.903,0.825,76.85714286,0,0,0,0,1,1,0,0,0,3,3,6,0,0,0,1,1,2,113,22,135,144,139.14,38438
1850,FRENCHMAN RE-3,0,0,0,16,175,0,1,0.089,17,0.36,171,1,1,1,1,1,1,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19,19,20.83,35216
1860,BUFFALO RE-4J,6,1,3,26,258,3,4,0.143,17,0.34,301,0.9,0.967,1,0.857,1,0.952,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,22,22,21.09,44344
1870,PLATEAU RE-5,5,0,1,4,159,0,1,0.065,17,0.32,152,1,1,1,1,1,1,10.345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12,3,15,16,16.35,38619
1980,DE BEQUE 49JT,0,2,0,17,146,0,0,0.115,17,0.37,147,1,1,0,1,0,1,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,12,5,17,19,18.06,46220
1990,PLATEAU VALLEY 50,9,5,16,80,331,3,7,0.266,17,0.26,437,0.244,0.39,0.324,0.213,0.471,0.36,20.0225,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,28,29,27.78,42498
2000,MESA COUNTY VALLEY 51,147,185,133,5186,15552,27,854,0.296,17,0.45,21276,0.799,0.807,0.844,0.755,0.849,0.766,18.82454545,3,0,3,6,2,8,5,2,7,59,27,86,2,0,2,6,2,8,911,328,1239,1353,1280.49,48738
2010,CREEDE SCHOOL DISTRICT,0,0,0,9,69,0,2,0.138,17,0.48,80,1,1,1,1,1,1,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,12,10.95,40533
2020,MOFFAT COUNTY RE:NO 1,15,11,17,511,1634,1,59,0.273,17,0.38,2050,0.814,0.839,0.893,0.742,0.929,0.758,22.10375,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,91,32,123,127,126.66,46553
2035,MONTEZUMA-CORTEZ RE-1,732,11,8,557,1371,5,100,0.508,17,0.6,2686,0.7,0.71,0.72,0.682,0.72,0.701,49.38727273,6,0,6,1,0,1,1,0,1,9,1,10,0,0,0,0,0,0,120,47,167,185,176.63,37663
2055,DOLORES RE-4A,37,0,1,125,564,3,19,0.247,17,0.38,684,0.8,0.8,0.875,0.714,0.875,0.714,66.7275,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,38,12,50,54,50.97,40051
2070,MANCOS RE-6,37,0,1,78,364,1,19,0.272,17,0.61,453,0.969,0.969,0.933,1,0.933,1,52.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25,7,32,33,31.2,40693
2180,MONTROSE COUNTY RE-1J,34,48,31,2414,3587,7,139,0.427,17,0.48,5975,0.806,0.81,0.834,0.775,0.838,0.78,21.67357143,1,2,3,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,247,100,347,354,335.44,47481
2190,WEST END RE-2,3,0,6,27,279,0,2,0.12,17,0.61,276,0.895,0.895,0.889,0.9,0.889,0.9,14.76,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25,3,28,29,24.54,36648
