County Code,County,Org. Code,Organization Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,,Total PK-12 Pupil Count,Total Minority Count,Percent Minority
23,GARFIELD,1180,ROARING FORK RE-1,20,40,16,"3,032","2,418",5,82,,"5,613","3,195",56.92%
23,GARFIELD,1195,GARFIELD RE-2,13,19,19,"2,104","2,580",2,91,,"4,828","2,248",46.56%
23,GARFIELD,1220,GARFIELD 16,25,1,6,365,604,4,33,,"1,038",434,41.81%
23,GARFIELD COUNTY TOTAL,, ,58,60,41,"5,501","5,602",11,206,,"11,479","5,877",51.20%
24,GILPIN,1330,GILPIN COUNTY RE-1,0,8,5,49,334,4,29,,429,95,22.14%
24,GILPIN COUNTY TOTAL,, ,0,8,5,49,334,4,29,,429,95,22.14%
25,GRAND,1340,WEST GRAND 1-JT.,0,0,2,102,306,1,11,,422,116,27.49%
25,GRAND,1350,EAST GRAND 2,7,5,4,169,"1,085",8,21,,"1,299",214,16.47%
25,GRAND COUNTY TOTAL,, ,7,5,6,271,"1,391",9,32,,"1,721",330,19.17%
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,7,7,11,317,"1,548",1,38,,"1,929",381,19.75%
26,GUNNISON COUNTY TOTAL,, ,7,7,11,317,"1,548",1,38,,"1,929",381,19.75%
27,HINSDALE,1380,HINSDALE COUNTY RE 1,3,0,1,6,84,0,2,,96,12,12.50%
27,HINSDALE COUNTY TOTAL,, ,3,0,1,6,84,0,2,,96,12,12.50%
28,HUERFANO,1390,HUERFANO RE-1,31,3,6,332,163,2,0,,537,374,69.65%
28,HUERFANO,1400,LA VETA RE-2,0,0,0,58,155,0,2,,215,60,27.91%
28,HUERFANO COUNTY TOTAL,, ,31,3,6,390,318,2,2,,752,434,57.71%
29,JACKSON,1410,NORTH PARK R-1 ,1,0,0,39,147,0,3,,190,43,22.63%
29,JACKSON COUNTY TOTAL,, ,1,0,0,39,147,0,3,,190,43,22.63%
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,570,"2,618","1,018","21,143","58,115",155,"2,928",,"86,547","28,432",32.85%
30,JEFFERSON COUNTY TOTAL,, ,570,"2,618","1,018","21,143","58,115",155,"2,928",,"86,547","28,432",32.85%
31,KIOWA,1430,EADS RE-1,3,0,1,18,152,1,0,,175,23,13.14%
31,KIOWA,1440,PLAINVIEW RE-2,0,0,0,2,63,0,1,,66,3,4.55%
31,KIOWA COUNTY TOTAL,, ,3,0,1,20,215,1,1,,241,26,10.79%
32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,1,3,0,19,168,1,3,,195,27,13.85%
32,KIT CARSON,1460,HI-PLAINS R-23,2,0,3,24,81,0,1,,111,30,27.03%
32,KIT CARSON,1480,STRATTON R-4,4,0,0,41,166,0,1,,212,46,21.70%
32,KIT CARSON,1490,BETHUNE R-5,0,3,0,43,69,0,2,,117,48,41.03%
32,KIT CARSON,1500,BURLINGTON RE-6J,5,7,8,328,429,0,7,,784,355,45.28%
32,KIT CARSON COUNTY TOTAL,, ,12,13,11,455,913,1,14,,"1,419",506,35.66%
33,LAKE,1510,LAKE COUNTY R-1,5,1,1,754,319,0,13,,"1,093",774,70.81%
33,LAKE COUNTY TOTAL,, ,5,1,1,754,319,0,13,,"1,093",774,70.81%
34,LA PLATA,1520,DURANGO 9-R,226,41,30,864,"3,279",2,122,,"4,564","1,285",28.16%
34,LA PLATA,1530,BAYFIELD 10 JT-R,32,4,1,195,"1,055",1,37,,"1,325",270,20.38%
34,LA PLATA,1540,IGNACIO 11 JT,171,7,3,284,284,1,41,,791,507,64.10%
34,LA PLATA COUNTY TOTAL,, ,429,52,34,"1,343","4,618",4,200,,"6,680","2,062",30.87%
35,LARIMER,1550,POUDRE R-1,148,890,327,"5,215","21,442",39,992,,"29,053","7,611",26.20%
35,LARIMER,1560,THOMPSON R2-J,81,198,173,"3,174","12,134",28,345,,"16,133","3,999",24.79%
35,LARIMER,1570,ESTES PARK R-3,6,16,11,264,812,3,15,,"1,127",315,27.95%
35,LARIMER COUNTY TOTAL,, ,235,"1,104",511,"8,653","34,388",70,"1,352",,"46,313","11,925",25.75%
36,LAS ANIMAS,1580,TRINIDAD 1,17,7,7,760,228,2,4,,"1,025",797,77.76%
36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,4,0,1,5,185,1,1,,197,12,6.09%
36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,2,6,0,175,175,0,5,,363,188,51.79%
36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,0,0,0,78,52,0,0,,130,78,60.00%
36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,3,1,23,110,292,0,21,,450,158,35.11%
36,LAS ANIMAS,1760,KIM REORGANIZED 88,0,0,0,9,39,0,0,,48,9,18.75%
36,LAS ANIMAS COUNTY TOTAL,, ,26,14,31,"1,137",971,3,31,,"2,213","1,242",56.12%
37,LINCOLN,1780,GENOA-HUGO C113,1,0,5,7,158,0,0,,171,13,7.60%
37,LINCOLN,1790,LIMON RE-4J,2,3,11,61,384,4,11,,476,92,19.33%
37,LINCOLN,1810,KARVAL RE-23,0,0,0,2,43,0,0,,45,2,4.44%
37,LINCOLN COUNTY TOTAL,, ,3,3,16,70,585,4,11,,692,107,15.46%
38,LOGAN,1828,VALLEY RE-1,14,13,15,562,"1,606",4,58,,"2,272",666,29.31%
38,LOGAN,1850,FRENCHMAN RE-3,0,0,1,17,173,0,7,,198,25,12.63%
38,LOGAN,1860,BUFFALO RE-4J,4,2,7,22,276,0,4,,315,39,12.38%
38,LOGAN,1870,PLATEAU RE-5,0,0,2,7,167,0,1,,177,10,5.65%
38,LOGAN COUNTY TOTAL,, ,18,15,25,608,"2,222",4,70,,"2,962",740,24.98%
39,MESA,1980,DE BEQUE 49JT,0,0,1,21,129,0,0,,151,22,14.57%
39,MESA,1990,PLATEAU VALLEY 50,4,3,23,59,357,3,10,,459,102,22.22%
39,MESA,2000,MESA COUNTY VALLEY 51,141,148,126,"4,955","15,523",28,821,,"21,742","6,219",28.60%
39,MESA COUNTY TOTAL,, ,145,151,150,"5,035","16,009",31,831,,"22,352","6,343",28.38%
40,MINERAL,2010,CREEDE SCHOOL DISTRICT,0,0,0,9,65,0,3,,77,12,15.58%
40,MINERAL COUNTY TOTAL,, ,0,0,0,9,65,0,3,,77,12,15.58%
41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,17,6,14,512,"1,579",0,47,,"2,175",596,27.40%
41,MOFFAT COUNTY TOTAL,, ,17,6,14,512,"1,579",0,47,,"2,175",596,27.40%
42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,729,8,11,563,"1,363",4,109,,"2,787","1,424",51.09%
42,MONTEZUMA,2055,DOLORES RE-4A,27,2,2,99,652,1,13,,796,144,18.09%
42,MONTEZUMA,2070,MANCOS RE-6,41,2,2,81,312,2,15,,455,143,31.43%
42,MONTEZUMA COUNTY TOTAL,, ,797,12,15,743,"2,327",7,137,,"4,038","1,711",42.37%
43,MONTROSE,2180,MONTROSE COUNTY RE-1J,35,45,19,"2,400","3,436",2,150,,"6,087","2,651",43.55%
43,MONTROSE,2190,WEST END RE-2,5,0,6,23,238,0,2,,274,36,13.14%
43,MONTROSE COUNTY TOTAL,, ,40,45,25,"2,423","3,674",2,152,,"6,361","2,687",42.24%
44,MORGAN,2395,BRUSH RE-2(J),5,4,7,768,708,1,25,,"1,518",810,53.36%
44,MORGAN,2405,FORT MORGAN RE-3,16,13,133,"1,964","1,051",0,23,,"3,200","2,149",67.16%
44,MORGAN,2505,WELDON VALLEY RE-20(J),0,1,0,38,202,0,3,,244,42,17.21%
44,MORGAN,2515,WIGGINS RE-50(J),7,2,2,147,396,0,21,,575,179,31.13%
44,MORGAN COUNTY TOTAL,, ,28,20,142,"2,917","2,357",1,72,,"5,537","3,180",57.43%
45,OTERO,2520,EAST OTERO R-1,7,4,8,867,408,2,13,,"1,309",901,68.83%
45,OTERO,2530,ROCKY FORD R-2,7,4,3,595,198,0,2,,809,611,75.53%
45,OTERO,2535,MANZANOLA 3J,0,0,1,94,51,0,1,,147,96,65.31%
45,OTERO,2540,FOWLER R-4J,1,0,1,95,299,0,6,,402,103,25.62%
45,OTERO,2560,CHERAW 31,2,1,0,57,168,0,1,,229,61,26.64%
45,OTERO,2570,SWINK 33,1,20,5,67,253,0,5,,351,98,27.92%
45,OTERO COUNTY TOTAL,, ,18,29,18,"1,775","1,377",2,28,,"3,247","1,870",57.59%
46,OURAY,2580,OURAY R-1,1,2,1,20,162,0,5,,191,29,15.18%
46,OURAY,2590,RIDGWAY R-2,0,8,0,31,300,0,17,,356,56,15.73%
46,OURAY COUNTY TOTAL,, ,1,10,1,51,462,0,22,,547,85,15.54%
47,PARK,2600,PLATTE CANYON 1,9,12,7,108,846,0,35,,"1,017",171,16.81%
47,PARK,2610,PARK COUNTY RE-2,2,7,1,82,534,0,25,,651,117,17.97%
47,PARK COUNTY TOTAL,, ,11,19,8,190,"1,380",0,60,,"1,668",288,17.27%
48,PHILLIPS,2620,HOLYOKE RE-1J,0,0,2,271,313,0,7,,593,280,47.22%
48,PHILLIPS,2630,HAXTUN RE-2J,0,0,0,31,296,0,3,,330,34,10.30%
48,PHILLIPS COUNTY TOTAL,, ,0,0,2,302,609,0,10,,923,314,34.02%
49,PITKIN,2640,ASPEN 1,5,29,13,192,"1,506",1,10,,"1,756",250,14.24%
49,PITKIN COUNTY TOTAL,, ,5,29,13,192,"1,506",1,10,,"1,756",250,14.24%
50,PROWERS,2650,GRANADA RE-1,0,0,0,146,56,0,0,,202,146,72.28%
50,PROWERS,2660,LAMAR RE-2,13,5,10,901,648,0,29,,"1,606",958,59.65%
50,PROWERS,2670,HOLLY RE-3,5,1,0,169,125,0,2,,302,177,58.61%
50,PROWERS,2680,WILEY RE-13 JT,1,0,0,58,184,0,7,,250,66,26.40%
50,PROWERS COUNTY TOTAL,, ,19,6,10,"1,274","1,013",0,38,,"2,360","1,347",57.08%
51,PUEBLO,2690,PUEBLO CITY 60,92,107,342,"12,583","4,608",19,209,,"17,960","13,352",74.34%
51,PUEBLO,2700,PUEBLO COUNTY 70,45,76,68,"3,197","5,592",8,324,,"9,310","3,718",39.94%
51,PUEBLO COUNTY TOTAL,, ,137,183,410,"15,780","10,200",27,533,,"27,270","17,070",62.60%
52,RIO BLANCO,2710,MEEKER RE1,5,1,1,118,568,1,3,,697,129,18.51%
52,RIO BLANCO,2720,RANGELY RE-4,5,0,0,47,486,0,4,,542,56,10.33%
52,RIO BLANCO COUNTY TOTAL,, ,10,1,1,165,"1,054",1,7,,"1,239",185,14.93%
53,RIO GRANDE,2730,DEL NORTE C-7,0,0,0,242,168,0,7,,417,249,59.71%
53,RIO GRANDE,2740,MONTE VISTA C-8,14,3,4,786,313,0,10,,"1,130",817,72.30%
53,RIO GRANDE,2750,SARGENT RE-33J,4,4,1,110,297,0,8,,424,127,29.95%
53,RIO GRANDE COUNTY TOTAL,, ,18,7,5,"1,138",778,0,25,,"1,971","1,193",60.53%
54,ROUTT,2760,HAYDEN RE-1,0,1,5,43,364,1,0,,414,50,12.08%
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,6,36,12,277,"2,084",9,44,,"2,468",384,15.56%
54,ROUTT,2780,SOUTH ROUTT RE 3,2,2,2,28,352,1,4,,391,39,9.97%
54,ROUTT COUNTY TOTAL,, ,8,39,19,348,"2,800",11,48,,"3,273",473,14.45%
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,0,1,0,37,95,0,5,,138,43,31.16%
55,SAGUACHE,2800,MOFFAT 2,2,6,3,14,156,2,13,,196,40,20.41%
55,SAGUACHE,2810,CENTER 26 JT,10,0,1,581,53,0,4,,649,596,91.83%
55,SAGUACHE COUNTY TOTAL,, ,12,7,4,632,304,2,22,,983,679,69.07%
56,SAN JUAN,2820,SILVERTON 1,0,0,0,21,41,0,0,,62,21,33.87%
56,SAN JUAN COUNTY TOTAL,, ,0,0,0,21,41,0,0,,62,21,33.87%
57,SAN MIGUEL,2830,TELLURIDE R-1,5,5,3,150,715,0,20,,898,183,20.38%
57,SAN MIGUEL,2840,NORWOOD R-2J,10,3,2,15,250,0,7,,287,37,12.89%
57,SAN MIGUEL COUNTY TOTAL,, ,15,8,5,165,965,0,27,,"1,185",220,18.57%
58,SEDGWICK,2862,JULESBURG RE-1,6,7,25,163,587,0,6,,794,207,26.07%
58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,2,1,1,10,90,1,1,,106,16,15.09%
58,SEDGWICK COUNTY TOTAL,, ,8,8,26,173,677,1,7,,900,223,24.78%
59,SUMMIT,3000,SUMMIT RE-1,9,28,16,"1,140","2,053",2,97,,"3,345","1,292",38.62%
59,SUMMIT COUNTY TOTAL,, ,9,28,16,"1,140","2,053",2,97,,"3,345","1,292",38.62%
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,8,0,7,40,320,7,2,,384,64,16.67%
60,TELLER,3020,WOODLAND PARK RE-2,19,19,19,205,"2,118",4,111,,"2,495",377,15.11%
60,TELLER COUNTY TOTAL,, ,27,19,26,245,"2,438",11,113,,"2,879",441,15.32%
61,WASHINGTON,3030,AKRON R-1,1,4,2,62,273,0,15,,357,84,23.53%
61,WASHINGTON,3040,ARICKAREE R-2,0,0,0,33,72,2,0,,107,35,32.71%
61,WASHINGTON,3050,OTIS R-3,1,0,2,14,201,0,8,,226,25,11.06%
61,WASHINGTON,3060,LONE STAR 101,1,0,0,0,105,0,0,,106,1,0.94%
61,WASHINGTON,3070,WOODLIN R-104,0,0,0,10,92,0,0,,102,10,9.80%
61,WASHINGTON COUNTY TOTAL,, ,3,4,4,119,743,2,23,,898,155,17.26%
62,WELD,3080,WELD COUNTY RE-1,14,6,6,"1,128",805,3,28,,"1,990","1,185",59.55%
62,WELD,3085,EATON RE-2,4,8,11,447,"1,399",0,35,,"1,904",505,26.52%
62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,10,12,11,908,"1,387",2,56,,"2,386",999,41.87%
62,WELD,3100,WINDSOR RE-4,20,55,18,750,"4,121",1,137,,"5,102",981,19.23%
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,7,25,15,"1,118","2,508",4,55,,"3,732","1,224",32.80%
62,WELD,3120,GREELEY 6,83,434,425,"12,623","7,286",30,302,,"21,183","13,897",65.60%
62,WELD,3130,PLATTE VALLEY RE-7,1,1,1,372,751,0,3,,"1,129",378,33.48%
62,WELD,3140,WELD COUNTY S/D RE-8,9,7,8,"1,695",592,3,19,,"2,333","1,741",74.62%
62,WELD,3145,AULT-HIGHLAND RE-9,6,2,3,260,478,0,12,,761,283,37.19%
62,WELD,3146,BRIGGSDALE RE-10,0,5,0,15,155,1,1,,177,22,12.43%
62,WELD,3147,PRAIRIE RE-11,0,2,2,12,169,0,5,,190,21,11.05%
62,WELD,3148,PAWNEE RE-12,0,0,0,8,72,0,1,,81,9,11.11%
62,WELD COUNTY TOTAL,, ,154,557,500,"19,336","19,723",44,654,,"40,968","21,245",51.86%
63,YUMA,3200,YUMA 1,0,2,0,432,385,0,5,,824,439,53.28%
63,YUMA,3210,WRAY RD-2,0,1,1,188,494,1,8,,693,199,28.72%
63,YUMA,3220,IDALIA RJ-3,5,0,1,48,145,0,2,,201,56,27.86%
63,YUMA,3230,LIBERTY J-4,0,0,0,9,70,0,1,,80,10,12.50%
63,YUMA COUNTY TOTAL,, ,5,3,2,677,"1,094",1,16,,"1,798",704,39.15%
90,COLORADO BOCS,9030,MOUNTAIN BOCES,0,1,1,46,75,0,0,,123,48,39.02%
90,COLORADO BOCS,9035,CENTENNIAL BOCES,2,0,2,80,80,0,1,,165,85,51.52%
90,COLORADO BOCS,9050,SAN JUAN BOCES,1,0,0,5,38,0,2,,46,8,17.39%
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,0,9,10,46,299,0,28,,392,93,23.72%
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,16,15,71,407,"1,107",7,75,,"1,698",591,34.81%
90,COLORADO BOCS COUNTY TOTAL,, ,19,25,84,584,"1,599",7,106,,"2,424",825,34.03%
98,NONE,8001,CHARTER SCHOOL INSTITUTE,83,466,607,"5,780","6,665",29,418,,"14,048","7,383",52.56%
98,NONE,9000,Colorado School for the Deaf and Blind,0,8,13,84,96,1,12,,214,118,55.14%
98,NONE COUNTY TOTAL,, ,83,474,620,"5,864","6,761",30,430,,"14,262","7,501",52.59%
999,No County,9999,COLORADO DETENTION CENTER TOTAL,0,1,13,77,74,1,6,,172,98,56.98%
999,No County COUNTY TOTAL,, ,0,1,13,77,74,1,6,,172,98,56.98%
,,,,,,,,,,,,,,
, COUNTY TOTAL,, ,"6,537","27,297","41,660","294,435","484,305","2,065","32,707",,"889,006","404,701",45.52%
