COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
20,ELBERT,0930,KIOWA C-2,259,58,28,169,86,22.39%,10.81%,33.20%
20,ELBERT,0940,BIG SANDY 100J,268,82,39,147,121,30.60%,14.55%,45.15%
20,ELBERT,0950,ELBERT 200,212,51,13,148,64,24.06%,6.13%,30.19%
20,ELBERT,0960,AGATE 300,10,4,1,5,5,40.00%,10.00%,50.00%
20,ELBERT,TOTAL,,"3,178",505,206,"2,461",711,15.89%,6.48%,22.37%
21,EL PASO,0970,CALHAN RJ-1,438,167,29,242,196,38.13%,6.62%,44.75%
21,EL PASO,0980,HARRISON 2,"11,441","7,153","1,080","3,161","8,233",62.52%,9.44%,71.96%
21,EL PASO,0990,WIDEFIELD 3,"8,839","3,018",957,"4,834","3,975",34.14%,10.83%,44.97%
21,EL PASO,1000,FOUNTAIN 8,"7,758","2,450","1,097","4,190","3,547",31.58%,14.14%,45.72%
21,EL PASO,1010,COLORADO SPRINGS 11,"27,676","13,659","2,808","11,042","16,467",49.35%,10.15%,59.50%
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,"5,009",548,181,"4,274",729,10.94%,3.61%,14.55%
21,EL PASO,1030,MANITOU SPRINGS 14,"1,421",342,39,"1,040",381,24.07%,2.74%,26.81%
21,EL PASO,1040,ACADEMY 20,"24,245","2,127",964,"21,111","3,091",8.77%,3.98%,12.75%
21,EL PASO,1050,ELLICOTT 22,992,533,149,306,682,53.73%,15.02%,68.75%
21,EL PASO,1060,PEYTON 23 JT,601,126,59,416,185,20.97%,9.82%,30.78%
21,EL PASO,1070,HANOVER 28,237,142,38,57,180,59.92%,16.03%,75.95%
21,EL PASO,1080,LEWIS-PALMER 38,"5,979",376,147,"5,446",523,6.29%,2.46%,8.75%
21,EL PASO,1110,FALCON 49,"19,274","4,927","1,341","12,983","6,268",25.56%,6.96%,32.52%
21,EL PASO,1120,EDISON 54 JT,209,53,42,114,95,25.36%,20.10%,45.45%
21,EL PASO,1130,MIAMI/YODER 60 JT,250,138,22,90,160,55.20%,8.80%,64.00%
21,EL PASO,TOTAL,,"114,369","35,759","8,953","69,306","44,712",31.27%,7.83%,39.09%
22,FREMONT,1140,CANON CITY RE-1,"3,603","1,551",476,"1,567","2,027",43.05%,13.21%,56.26%
22,FREMONT,1150,FREMONT RE-2,"1,373",561,167,643,728,40.86%,12.16%,53.02%
22,FREMONT,1160,COTOPAXI RE-3,203,94,26,83,120,46.31%,12.81%,59.11%
22,FREMONT,TOTAL,,"5,179","2,206",669,"2,293","2,875",42.60%,12.92%,55.51%
23,GARFIELD,1180,ROARING FORK RE-1,"5,423","1,840",487,"3,082","2,327",33.93%,8.98%,42.91%
23,GARFIELD,1195,GARFIELD RE-2,"4,668","1,908",602,"2,158","2,510",40.87%,12.90%,53.77%
23,GARFIELD,1220,GARFIELD 16,952,344,121,485,465,36.13%,12.71%,48.84%
23,GARFIELD,TOTAL,,"11,043","4,092","1,210","5,725","5,302",37.06%,10.96%,48.01%
24,GILPIN,1330,GILPIN COUNTY RE-1,398,83,24,291,107,20.85%,6.03%,26.88%
24,GILPIN,TOTAL,,398,83,24,291,107,20.85%,6.03%,26.88%
25,GRAND,1340,WEST GRAND 1-JT,422,140,58,224,198,33.18%,13.74%,46.92%
25,GRAND,1350,EAST GRAND 2,"1,236",261,108,863,369,21.12%,8.74%,29.85%
25,GRAND,TOTAL,,"1,658",401,166,"1,087",567,24.19%,10.01%,34.20%
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,"1,849",396,71,"1,379",467,21.42%,3.84%,25.26%
26,GUNNISON,TOTAL,,"1,849",396,71,"1,379",467,21.42%,3.84%,25.26%
27,HINSDALE,1380,HINSDALE COUNTY RE 1,87,19,10,58,29,21.84%,11.49%,33.33%
27,HINSDALE,TOTAL,,87,19,10,58,29,21.84%,11.49%,33.33%
28,HUERFANO,1390,HUERFANO RE-1,504,350,66,88,416,69.44%,13.10%,82.54%
28,HUERFANO,1400,LA VETA RE-2,196,93,22,81,115,47.45%,11.22%,58.67%
28,HUERFANO,TOTAL,,700,443,88,169,531,63.29%,12.57%,75.86%
29,JACKSON,1410,NORTH PARK R-1 ,167,54,37,76,91,32.34%,22.16%,54.49%
29,JACKSON,TOTAL,,167,54,37,76,91,32.34%,22.16%,54.49%
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,"83,613","20,826","5,741","56,752","26,567",24.91%,6.87%,31.77%
30,JEFFERSON,TOTAL,,"83,613","20,826","5,741","56,752","26,567",24.91%,6.87%,31.77%
31,KIOWA,1430,EADS RE-1,153,44,17,92,61,28.76%,11.11%,39.87%
31,KIOWA,1440,PLAINVIEW RE-2,62,19,13,30,32,30.65%,20.97%,51.61%
31,KIOWA,TOTAL,,215,63,30,122,93,29.30%,13.95%,43.26%
32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,167,65,21,81,86,38.92%,12.57%,51.50%
32,KIT CARSON,1460,HI-PLAINS R-23,98,33,31,34,64,33.67%,31.63%,65.31%
32,KIT CARSON,1480,STRATTON R-4,174,68,37,69,105,39.08%,21.26%,60.34%
32,KIT CARSON,1490,BETHUNE R-5,108,54,22,32,76,50.00%,20.37%,70.37%
32,KIT CARSON,1500,BURLINGTON RE-6J,701,285,131,283,416,40.66%,18.69%,59.34%
32,KIT CARSON,TOTAL,,"1,248",505,242,499,747,40.46%,19.39%,59.86%
33,LAKE,1510,LAKE COUNTY R-1,982,582,155,243,737,59.27%,15.78%,75.05%
33,LAKE,TOTAL,,982,582,155,243,737,59.27%,15.78%,75.05%
34,LA PLATA,1520,DURANGO 9-R,"4,410","1,010",276,"3,110","1,286",22.90%,6.26%,29.16%
34,LA PLATA,1530,BAYFIELD 10 JT-R,"1,298",247,135,916,382,19.03%,10.40%,29.43%
34,LA PLATA,1540,IGNACIO 11 JT,791,265,89,437,354,33.50%,11.25%,44.75%
34,LA PLATA,TOTAL,,"6,499","1,522",500,"4,463","2,022",23.42%,7.69%,31.11%
35,LARIMER,1550,POUDRE R-1,"28,224","7,259","1,664","19,256","8,923",25.72%,5.90%,31.61%
35,LARIMER,1560,THOMPSON R2-J,"15,588","4,327","1,273","9,887","5,600",27.76%,8.17%,35.93%
35,LARIMER,1570,ESTES PARK R-3,"1,097",346,55,689,401,31.54%,5.01%,36.55%
35,LARIMER,TOTAL,,"44,909","11,932","2,992","29,832","14,924",26.57%,6.66%,33.23%
36,LAS ANIMAS,1580,TRINIDAD 1,"1,025",605,115,304,720,59.02%,11.22%,70.24%
36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,186,77,15,94,92,41.40%,8.06%,49.46%
36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,363,82,39,241,121,22.59%,10.74%,33.33%
36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,116,83,13,20,96,71.55%,11.21%,82.76%
36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,450,60,25,354,85,13.33%,5.56%,18.89%
36,LAS ANIMAS,1760,KIM REORGANIZED 88,42,22,4,16,26,52.38%,9.52%,61.90%
36,LAS ANIMAS,TOTAL,,"2,182",929,211,"1,029","1,140",42.58%,9.67%,52.25%
37,LINCOLN,1780,GENOA-HUGO C113,154,61,25,68,86,39.61%,16.23%,55.84%
37,LINCOLN,1790,LIMON RE-4J,476,131,48,297,179,27.52%,10.08%,37.61%
37,LINCOLN,1810,KARVAL RE-23,39,21,9,9,30,53.85%,23.08%,76.92%
37,LINCOLN,TOTAL,,669,213,82,374,295,31.84%,12.26%,44.10%
38,LOGAN,1828,VALLEY RE-1,"2,098",758,242,"1,098","1,000",36.13%,11.53%,47.66%
38,LOGAN,1850,FRENCHMAN RE-3,184,43,23,118,66,23.37%,12.50%,35.87%
38,LOGAN,1860,BUFFALO RE-4J,315,46,34,235,80,14.60%,10.79%,25.40%
38,LOGAN,1870,PLATEAU RE-5,166,40,17,109,57,24.10%,10.24%,34.34%
38,LOGAN,TOTAL,,"2,763",887,316,"1,560","1,203",32.10%,11.44%,43.54%
39,MESA,1980,DE BEQUE 49JT,138,54,5,79,59,39.13%,3.62%,42.75%
39,MESA,1990,PLATEAU VALLEY 50,440,99,20,321,119,22.50%,4.55%,27.05%
39,MESA,2000,MESA COUNTY VALLEY 51,"21,054","7,471","1,498","12,083","8,969",35.48%,7.12%,42.60%
39,MESA,TOTAL,,"21,632","7,624","1,523","12,483","9,147",35.24%,7.04%,42.28%
40,MINERAL,2010,CREEDE SCHOOL DISTRICT,77,27,19,29,46,35.06%,24.68%,59.74%
40,MINERAL,TOTAL,,77,27,19,29,46,35.06%,24.68%,59.74%
41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,"2,005",701,158,"1,136",859,34.96%,7.88%,42.84%
41,MOFFAT,TOTAL,,"2,005",701,158,"1,136",859,34.96%,7.88%,42.84%
42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,"2,678","1,388",237,"1,032","1,625",51.83%,8.85%,60.68%
42,MONTEZUMA,2055,DOLORES RE-4A,731,275,57,399,332,37.62%,7.80%,45.42%
42,MONTEZUMA,2070,MANCOS RE-6,425,190,56,179,246,44.71%,13.18%,57.88%
42,MONTEZUMA,TOTAL,,"3,834","1,853",350,"1,610","2,203",48.33%,9.13%,57.46%
43,MONTROSE,2180,MONTROSE COUNTY RE-1J,"5,812","2,502",449,"2,849","2,951",43.05%,7.73%,50.77%
43,MONTROSE,2190,WEST END RE-2,239,107,29,103,136,44.77%,12.13%,56.90%
43,MONTROSE,TOTAL,,"6,051","2,609",478,"2,952","3,087",43.12%,7.90%,51.02%
44,MORGAN,2395,BRUSH RE-2(J),"1,437",595,232,609,827,41.41%,16.14%,57.55%
44,MORGAN,2405,FORT MORGAN RE-3,"2,970","1,661",362,945,"2,023",55.93%,12.19%,68.11%
44,MORGAN,2505,WELDON VALLEY RE-20(J),217,56,12,149,68,25.81%,5.53%,31.34%
44,MORGAN,2515,WIGGINS RE-50(J),517,187,65,265,252,36.17%,12.57%,48.74%
44,MORGAN,TOTAL,,"5,141","2,499",671,"1,968","3,170",48.61%,13.05%,61.66%
45,OTERO,2520,EAST OTERO R-1,"1,309",863,110,336,973,65.93%,8.40%,74.33%
45,OTERO,2530,ROCKY FORD R-2,779,539,83,157,622,69.19%,10.65%,79.85%
45,OTERO,2535,MANZANOLA 3J,141,85,17,39,102,60.28%,12.06%,72.34%
45,OTERO,2540,FOWLER R-4J,402,162,55,185,217,40.30%,13.68%,53.98%
45,OTERO,2560,CHERAW 31,212,80,51,81,131,37.74%,24.06%,61.79%
45,OTERO,2570,SWINK 33,351,115,37,199,152,32.76%,10.54%,43.30%
45,OTERO,TOTAL,,"3,194","1,844",353,997,"2,197",57.73%,11.05%,68.79%
46,OURAY,2580,OURAY R-1,178,42,24,112,66,23.60%,13.48%,37.08%
46,OURAY,2590,RIDGWAY R-2,337,66,41,230,107,19.58%,12.17%,31.75%
46,OURAY,TOTAL,,515,108,65,342,173,20.97%,12.62%,33.59%
47,PARK,2600,PLATTE CANYON 1,945,239,47,655,286,25.29%,4.97%,30.26%
47,PARK,2610,PARK COUNTY RE-2,568,219,78,271,297,38.56%,13.73%,52.29%
47,PARK,TOTAL,,"1,513",458,125,926,583,30.27%,8.26%,38.53%
48,PHILLIPS,2620,HOLYOKE RE-1J,593,221,60,312,281,37.27%,10.12%,47.39%
48,PHILLIPS,2630,HAXTUN RE-2J,298,88,9,201,97,29.53%,3.02%,32.55%
48,PHILLIPS,TOTAL,,891,309,69,513,378,34.68%,7.74%,42.42%
49,PITKIN,2640,ASPEN 1,"1,703",57,32,"1,614",89,3.35%,1.88%,5.23%
49,PITKIN,TOTAL,,"1,703",57,32,"1,614",89,3.35%,1.88%,5.23%
50,PROWERS,2650,GRANADA RE-1,188,84,31,73,115,44.68%,16.49%,61.17%
50,PROWERS,2660,LAMAR RE-2,"1,488",838,152,498,990,56.32%,10.22%,66.53%
50,PROWERS,2670,HOLLY RE-3,274,146,57,71,203,53.28%,20.80%,74.09%
50,PROWERS,2680,WILEY RE-13 JT,228,103,21,104,124,45.18%,9.21%,54.39%
50,PROWERS,TOTAL,,"2,178","1,171",261,746,"1,432",53.76%,11.98%,65.75%
51,PUEBLO,2690,PUEBLO CITY 60,"16,969","10,858","1,336","4,745","12,194",63.99%,7.87%,71.86%
51,PUEBLO,2700,PUEBLO COUNTY 70,"9,035","3,429",746,"4,854","4,175",37.95%,8.26%,46.21%
51,PUEBLO,TOTAL,,"26,004","14,287","2,082","9,599","16,369",54.94%,8.01%,62.95%
52,RIO BLANCO,2710,MEEKER RE1,638,185,42,411,227,29.00%,6.58%,35.58%
52,RIO BLANCO,2720,RANGELY RE-4,503,146,43,314,189,29.03%,8.55%,37.57%
52,RIO BLANCO,TOTAL,,"1,141",331,85,725,416,29.01%,7.45%,36.46%
53,RIO GRANDE,2730,DEL NORTE C-7,417,215,44,158,259,51.56%,10.55%,62.11%
53,RIO GRANDE,2740,MONTE VISTA C-8,"1,070",628,138,304,766,58.69%,12.90%,71.59%
53,RIO GRANDE,2750,SARGENT RE-33J,424,119,41,264,160,28.07%,9.67%,37.74%
53,RIO GRANDE,TOTAL,,"1,911",962,223,726,"1,185",50.34%,11.67%,62.01%
54,ROUTT,2760,HAYDEN RE-1,385,121,38,226,159,31.43%,9.87%,41.30%
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,"2,468",317,96,"2,052",413,12.84%,3.89%,16.73%
54,ROUTT,2780,SOUTH ROUTT RE 3,367,109,33,225,142,29.70%,8.99%,38.69%
54,ROUTT,TOTAL,,"3,220",547,167,"2,503",714,16.99%,5.19%,22.17%
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,126,80,7,39,87,63.49%,5.56%,69.05%
55,SAGUACHE,2800,MOFFAT 2,180,135,12,33,147,75.00%,6.67%,81.67%
55,SAGUACHE,2810,CENTER 26 JT,610,526,39,45,565,86.23%,6.39%,92.62%
55,SAGUACHE,TOTAL,,916,741,58,117,799,80.90%,6.33%,87.23%
56,SAN JUAN,2820,SILVERTON 1,62,29,6,27,35,46.77%,9.68%,56.45%
56,SAN JUAN,TOTAL,,62,29,6,27,35,46.77%,9.68%,56.45%
57,SAN MIGUEL,2830,TELLURIDE R-1,873,157,52,664,209,17.98%,5.96%,23.94%
57,SAN MIGUEL,2840,NORWOOD R-2J,268,94,32,142,126,35.07%,11.94%,47.01%
57,SAN MIGUEL,TOTAL,,"1,141",251,84,806,335,22.00%,7.36%,29.36%
58,SEDGWICK,2862,JULESBURG RE-1,766,193,133,440,326,25.20%,17.36%,42.56%
58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,106,34,21,51,55,32.08%,19.81%,51.89%
58,SEDGWICK,TOTAL,,872,227,154,491,381,26.03%,17.66%,43.69%
59,SUMMIT,3000,SUMMIT RE-1,"3,194",814,260,"2,120","1,074",25.49%,8.14%,33.63%
59,SUMMIT,TOTAL,,"3,194",814,260,"2,120","1,074",25.49%,8.14%,33.63%
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,324,156,33,134,189,48.15%,10.19%,58.33%
60,TELLER,3020,WOODLAND PARK RE-2,"2,379",627,166,"1,583",793,26.36%,6.98%,33.33%
60,TELLER,TOTAL,,"2,703",783,199,"1,717",982,28.97%,7.36%,36.33%
61,WASHINGTON,3030,AKRON R-1,342,106,56,180,162,30.99%,16.37%,47.37%
61,WASHINGTON,3040,ARICKAREE R-2,104,39,21,44,60,37.50%,20.19%,57.69%
61,WASHINGTON,3050,OTIS R-3,211,73,26,112,99,34.60%,12.32%,46.92%
61,WASHINGTON,3060,LONE STAR 101,106,25,14,67,39,23.58%,13.21%,36.79%
61,WASHINGTON,3070,WOODLIN R-104,92,46,9,37,55,50.00%,9.78%,59.78%
61,WASHINGTON,TOTAL,,855,289,126,440,415,33.80%,14.74%,48.54%
62,WELD,3080,WELD COUNTY RE-1,"1,876",872,220,779,"1,092",46.48%,11.73%,58.21%
62,WELD,3085,EATON RE-2,"1,904",512,170,"1,221",682,26.89%,8.93%,35.82%
62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,"2,268",868,273,"1,127","1,141",38.27%,12.04%,50.31%
62,WELD,3100,WINDSOR RE-4,"4,959",670,223,"4,059",893,13.51%,4.50%,18.01%
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,"3,603",749,352,"2,486","1,101",20.79%,9.77%,30.56%
62,WELD,3120,GREELEY 6,"21,183","11,019","2,099","7,952","13,118",52.02%,9.91%,61.93%
62,WELD,3130,PLATTE VALLEY RE-7,"1,129",403,100,626,503,35.70%,8.86%,44.55%
62,WELD,3140,WELD COUNTY S/D RE-8,"2,171","1,333",254,578,"1,587",61.40%,11.70%,73.10%
62,WELD,3145,AULT-HIGHLAND RE-9,761,293,63,405,356,38.50%,8.28%,46.78%
62,WELD,3146,BRIGGSDALE RE-10,163,35,21,107,56,21.47%,12.88%,34.36%
62,WELD,3147,PRAIRIE RE-11,183,28,23,132,51,15.30%,12.57%,27.87%
62,WELD,3148,PAWNEE RE-12,76,22,2,51,24,28.95%,2.63%,31.58%
62,WELD,TOTAL,,"40,276","16,804","3,800","19,523","20,604",41.72%,9.43%,51.16%
63,YUMA,3200,YUMA 1,777,372,87,318,459,47.88%,11.20%,59.07%
63,YUMA,3210,WRAY RD-2,644,245,100,299,345,38.04%,15.53%,53.57%
63,YUMA,3220,IDALIA RJ-3,172,79,21,72,100,45.93%,12.21%,58.14%
63,YUMA,3230,LIBERTY J-4,73,14,7,52,21,19.18%,9.59%,28.77%
63,YUMA,TOTAL,,"1,666",710,215,741,925,42.62%,12.91%,55.52%
90,COLORADO BOCS,9030,MOUNTAIN BOCES,123,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9035,CENTENNIAL BOCES,165,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9050,SAN JUAN BOCES,46,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,392,0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,"1,698",0,0,0,0,0.00%,0.00%,0.00%
90,COLORADO BOCS,TOTAL,,"2,424",0,0,0,0,0.00%,0.00%,0.00%
98,NONE,8001,CHARTER SCHOOL INSTITUTE,"13,878","4,781","1,390","7,647","6,171",34.45%,10.02%,44.47%
98,NONE,9000,Colorado School for the Deaf and Blind,203,118,15,63,133,58.13%,7.39%,65.52%
98,NONE,TOTAL,,"14,081","4,899","1,405","7,710","6,304",34.79%,9.98%,44.77%
999,No County,9999,COLORADO DETENTION CENTER TOTAL,172,20,1,98,21,11.63%,0.58%,12.21%
999,No County,TOTAL,,172,20,1,98,21,11.63%,0.58%,12.21%
,,,,,,,,,,,
STATE,,TOTAL,,"857,343","295,544","62,984","493,972","358,528",34.47%,7.35%,41.82%
