County Code,County Name,Organization Code,Orgnazation Name,Total FTE,Average Salary
21,EL PASO,1010,COLORADO SPRINGS 11,"1,727.8","$45,315.15"
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,349.7,"$43,094.10"
21,EL PASO,1030,MANITOU SPRINGS 14,98.8,"$41,745.70"
21,EL PASO,1040,ACADEMY 20,"1,500.6","$46,251.35"
21,EL PASO,1050,ELLICOTT 22,72.9,"$34,728.68"
21,EL PASO,1060,PEYTON 23 JT,46.5,"$34,760.67"
21,EL PASO,1070,HANOVER 28,17.0,"$36,929.41"
21,EL PASO,1080,LEWIS-PALMER 38,348.5,"$44,255.38"
21,EL PASO,1110,FALCON 49,919.8,"$40,682.68"
21,EL PASO,1120,EDISON 54 JT,12.0,"$34,867.55"
21,EL PASO,1130,MIAMI/YODER 60 JT,25.1,"$29,080.80"
22,FREMONT,1140,CANON CITY RE-1,228.2,"$45,334.74"
22,FREMONT,1150,FREMONT RE-2,97.1,"$40,639.09"
22,FREMONT,1160,COTOPAXI RE-3,18.9,"$32,230.83"
23,GARFIELD,1180,ROARING FORK RE-1,354.0,"$47,515.84"
23,GARFIELD,1195,GARFIELD RE-2,287.0,"$40,255.85"
23,GARFIELD,1220,GARFIELD 16,58.6,"$38,448.24"
24,GILPIN,1330,GILPIN COUNTY RE-1,35.9,"$43,409.86"
25,GRAND,1340,WEST GRAND 1-JT.,38.1,"$36,686.36"
25,GRAND,1350,EAST GRAND 2,94.1,"$45,016.05"
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,129.2,"$45,228.29"
27,HINSDALE,1380,HINSDALE COUNTY RE 1,11.3,"$28,812.39"
28,HUERFANO,1390,HUERFANO RE-1,44.1,"$33,680.91"
28,HUERFANO,1400,LA VETA RE-2,19.3,"$38,493.45"
29,JACKSON,1410,NORTH PARK R-1 ,19.6,"$35,310.75"
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,"4,724.3","$54,100.42"
31,KIOWA,1430,EADS RE-1,20.4,"$32,812.07"
31,KIOWA,1440,PLAINVIEW RE-2,10.6,"$32,323.53"
32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,17.2,"$37,255.88"
32,KIT CARSON,1460,HI-PLAINS R-23,17.0,"$29,716.54"
32,KIT CARSON,1480,STRATTON R-4,17.7,"$31,448.62"
32,KIT CARSON,1490,BETHUNE R-5,12.6,"$35,922.54"
32,KIT CARSON,1500,BURLINGTON RE-6J,52.5,"$32,905.19"
33,LAKE,1510,LAKE COUNTY R-1,56.5,"$36,082.52"
34,LA PLATA,1520,DURANGO 9-R,283.2,"$49,246.33"
34,LA PLATA,1530,BAYFIELD 10 JT-R,88.8,"$45,236.13"
34,LA PLATA,1540,IGNACIO 11 JT,66.2,"$40,006.66"
35,LARIMER,1550,POUDRE R-1,"1,675.3","$51,077.21"
35,LARIMER,1560,THOMPSON R2-J,860.3,"$46,886.32"
35,LARIMER,1570,ESTES PARK R-3,81.8,"$44,830.44"
36,LAS ANIMAS,1580,TRINIDAD 1,62.6,"$43,778.20"
36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,19.4,"$36,660.28"
36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,22.6,"$36,635.11"
36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,18.0,"$20,808.56"
36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,25.2,"$39,990.09"
36,LAS ANIMAS,1760,KIM REORGANIZED 88,11.1,"$22,440.78"
37,LINCOLN,1780,GENOA-HUGO C113,18.3,"$34,020.31"
37,LINCOLN,1790,LIMON RE-4J,31.9,"$33,705.22"
37,LINCOLN,1810,KARVAL RE-23,6.5,"$35,895.32"
38,LOGAN,1828,VALLEY RE-1,144.8,"$39,367.71"
38,LOGAN,1850,FRENCHMAN RE-3,18.6,"$36,484.43"
38,LOGAN,1860,BUFFALO RE-4J,22.7,"$40,473.66"
38,LOGAN,1870,PLATEAU RE-5,18.5,"$36,065.06"
39,MESA,1980,DE BEQUE 49JT,15.4,"$38,019.84"
39,MESA,1990,PLATEAU VALLEY 50,32.3,"$40,826.84"
39,MESA,2000,MESA COUNTY VALLEY 51,"1,289.0","$44,698.03"
40,MINERAL,2010,CREEDE SCHOOL DISTRICT,12.4,"$33,788.58"
41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,133.7,"$45,943.13"
42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,168.6,"$41,976.79"
42,MONTEZUMA,2055,DOLORES RE-4A,52.4,"$36,431.58"
42,MONTEZUMA,2070,MANCOS RE-6,35.0,"$34,118.96"
43,MONTROSE,2180,MONTROSE COUNTY RE-1J,367.8,"$44,100.46"
43,MONTROSE,2190,WEST END RE-2,24.6,"$34,305.88"
44,MORGAN,2395,BRUSH RE-2(J),88.6,"$37,151.16"
44,MORGAN,2405,FORT MORGAN RE-3,205.2,"$38,234.21"
44,MORGAN,2505,WELDON VALLEY RE-20(J),16.2,"$34,761.61"
44,MORGAN,2515,WIGGINS RE-50(J),32.2,"$37,459.82"
45,OTERO,2520,EAST OTERO R-1,76.1,"$37,847.39"
45,OTERO,2530,ROCKY FORD R-2,59.3,"$35,714.24"
45,OTERO,2535,MANZANOLA 3J,17.5,"$33,333.31"
45,OTERO,2540,FOWLER R-4J,34.3,"$35,446.29"
45,OTERO,2560,CHERAW 31,17.2,"$34,566.51"
45,OTERO,2570,SWINK 33,29.2,"$38,820.88"
46,OURAY,2580,OURAY R-1,29.1,"$35,727.20"
46,OURAY,2590,RIDGWAY R-2,31.2,"$37,991.63"
47,PARK,2600,PLATTE CANYON 1,64.9,"$44,097.70"
47,PARK,2610,PARK COUNTY RE-2,45.6,"$35,723.33"
48,PHILLIPS,2620,HOLYOKE RE-1J,44.9,"$34,700.21"
48,PHILLIPS,2630,HAXTUN RE-2J,25.8,"$35,175.79"
49,PITKIN,2640,ASPEN 1,136.6,"$53,700.96"
50,PROWERS,2650,GRANADA RE-1,20.2,"$34,314.96"
50,PROWERS,2660,LAMAR RE-2,102.8,"$39,601.96"
50,PROWERS,2670,HOLLY RE-3,24.3,"$33,275.02"
50,PROWERS,2680,WILEY RE-13 JT,28.8,"$25,171.35"
51,PUEBLO,2690,PUEBLO CITY 60,"1,023.7","$45,682.40"
51,PUEBLO,2700,PUEBLO COUNTY 70,498.2,"$44,264.01"
52,RIO BLANCO,2710,MEEKER RE1,38.9,"$42,850.95"
52,RIO BLANCO,2720,RANGELY RE-4,32.7,"$38,431.67"
53,RIO GRANDE,2730,DEL NORTE C-7,39.2,"$31,078.17"
53,RIO GRANDE,2740,MONTE VISTA C-8,74.0,"$37,644.05"
53,RIO GRANDE,2750,SARGENT RE-33J,32.5,"$35,095.20"
54,ROUTT,2760,HAYDEN RE-1,38.0,"$47,108.95"
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,165.3,"$48,389.92"
54,ROUTT,2780,SOUTH ROUTT RE 3,34.2,"$38,600.02"
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,16.0,"$29,914.40"
55,SAGUACHE,2800,MOFFAT 2,23.7,"$28,711.62"
55,SAGUACHE,2810,CENTER 26 JT,44.8,"$36,593.22"
56,SAN JUAN,2820,SILVERTON 1,12.5,"$27,912.69"
57,SAN MIGUEL,2830,TELLURIDE R-1,70.2,"$51,178.10"
57,SAN MIGUEL,2840,NORWOOD R-2J,21.6,"$41,374.22"
58,SEDGWICK,2862,JULESBURG RE-1,37.5,"$42,977.04"
58,SEDGWICK,2865,PLATTE VALLEY RE-3,15.4,"$34,409.56"
59,SUMMIT,3000,SUMMIT RE-1,205.2,"$53,924.65"
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,29.1,"$35,415.32"
60,TELLER,3020,WOODLAND PARK RE-2,144.0,"$40,211.85"
61,WASHINGTON,3030,AKRON R-1,31.3,"$29,986.38"
61,WASHINGTON,3040,ARICKAREE R-2,14.4,"$28,054.60"
61,WASHINGTON,3050,OTIS R-3,19.1,"$32,753.25"
61,WASHINGTON,3060,LONE STAR 101,17.8,"$25,227.54"
61,WASHINGTON,3070,WOODLIN R-104,11.1,"$24,323.02"
62,WELD,3080,WELD COUNTY RE-1,137.9,"$42,057.86"
62,WELD,3085,EATON RE-2,112.3,"$44,302.86"
62,WELD,3090,KEENESBURG RE-3(J),138.6,"$40,787.10"
62,WELD,3100,WINDSOR RE-4,302.2,"$46,501.11"
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,189.3,"$49,025.82"
62,WELD,3120,GREELEY 6,"1,155.5","$46,758.55"
62,WELD,3130,PLATTE VALLEY RE-7,79.9,"$44,156.08"
62,WELD,3140,WELD COUNTY S/D RE-8,140.6,"$45,678.61"
62,WELD,3145,AULT-HIGHLAND RE-9,58.3,"$36,836.89"
62,WELD,3146,BRIGGSDALE RE-10,17.1,"$36,587.69"
62,WELD,3147,PRAIRIE RE-11,17.6,"$40,807.11"
62,WELD,3148,PAWNEE RE-12,19.6,"$25,991.69"
63,YUMA,3200,YUMA 1,64.7,"$39,754.28"
63,YUMA,3210,WRAY RD-2,49.2,"$35,145.11"
63,YUMA,3220,IDALIA RJ-3,16.7,"$35,635.42"
63,YUMA,3230,LIBERTY J-4,4.9,"$34,846.87"
98,NONE,8001,CHARTER SCHOOL INSTITUTE,741.9,"$36,695.14"
90,COLORADO BOCS,9025,EAST CENTRAL BOCES,7.6,"$34,634.38"
90,COLORADO BOCS,9030,MOUNTAIN BOCES,103.5,"$44,775.05"
90,COLORADO BOCS,9035,CENTENNIAL BOCES,16.0,"$26,939.01"
90,COLORADO BOCS,9040,NORTHEAST BOCES,2.4,"$41,172.90"
90,COLORADO BOCS,9045,PIKES PEAK BOCES,23.9,"$26,752.49"
90,COLORADO BOCS,9050,SAN JUAN BOCES,7.8,"$40,487.15"
90,COLORADO BOCS,9055,SAN LUIS VALLEY BOCES,13.8,"$30,746.71"
90,COLORADO BOCS,9060,SOUTH CENTRAL BOCES,4.8,"$32,479.37"
90,COLORADO BOCS,9075,SOUTHEASTERN BOCES,1.1,"$30,161.20"
90,COLORADO BOCS,9095,NORTHWEST COLO BOCES,4.7,"$37,395.74"
90,COLORADO BOCS,9125,RIO BLANCO BOCES,8.5,"$40,872.71"
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,32.1,"$29,298.86"
90,COLORADO BOCS,9145,UNCOMPAHGRE BOCS,1.8,"$37,995.89"
90,COLORADO BOCS,9150,SANTA FE TRAIL BOCES,4.7,"$34,981.66"
90,COLORADO BOCS,9165,UTE PASS BOCES,1.2,"$39,842.37"
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,38.6,"$35,845.42"
Grand Total,,,,"51,349.1","$48,276.88"
