District Code,District Name,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count
0230,WALSH RE-1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,15,0,0,0,0,0,0,15
0240,PRITCHETT RE-3,0,0,0,0,0,0,0,0,0,0,1,1,5,3,8,0,0,0,0,0,0,9
0250,SPRINGFIELD RE-4,0,0,0,0,0,0,0,0,0,1,1,2,19,5,24,0,0,0,1,0,1,27
0260,VILAS RE-5,0,0,0,0,0,0,0,0,0,2,0,2,9,1,10,0,0,0,0,0,0,12
0270,CAMPO RE-6,0,0,0,0,0,0,0,0,0,1,0,1,8,2,10,0,0,0,0,0,0,11
0290,LAS ANIMAS RE-1,0,0,0,0,0,0,0,0,0,5,2,7,23,7,30,0,0,0,0,0,0,37
0310,MC CLAVE RE-2,1,0,1,0,0,0,0,0,0,0,0,0,20,4,24,0,0,0,0,0,0,25
0470,ST VRAIN VALLEY RE 1J,7,1,8,12,5,17,1,3,4,74,19,93,"1,268",359,"1,627",1,0,1,0,0,0,"1,750"
0480,BOULDER VALLEY RE 2,2,1,3,19,5,24,4,7,11,112,32,144,"1,208",423,"1,631",2,0,2,15,7,22,"1,837"
0490,BUENA VISTA R-31,0,0,0,0,0,0,0,0,0,2,1,3,43,23,66,0,0,0,0,0,0,69
0500,SALIDA R-32,0,0,0,0,0,0,0,0,0,1,3,4,48,24,72,0,0,0,0,0,0,76
0510,KIT CARSON R-1,0,0,0,0,0,0,0,0,0,1,0,1,10,5,15,0,0,0,0,0,0,16
0520,CHEYENNE COUNTY RE-5,0,0,0,0,0,0,0,0,0,0,1,1,12,5,17,0,0,0,0,0,0,18
0540,CLEAR CREEK RE-1,0,0,0,0,0,0,0,0,0,2,0,2,45,17,62,0,0,0,0,0,0,64
0550,NORTH CONEJOS RE-1J,0,0,0,0,0,0,0,0,0,14,6,20,35,18,53,0,0,0,0,0,0,73
0560,SANFORD 6J,0,0,0,0,0,0,0,0,0,1,1,2,15,8,23,0,0,0,0,2,2,27
0580,SOUTH CONEJOS RE-10,0,0,0,0,0,0,0,0,0,13,6,19,1,2,3,0,0,0,0,0,0,22
0640,CENTENNIAL R-1,0,0,0,0,0,0,0,0,0,9,3,12,7,2,9,0,0,0,0,0,0,21
0740,SIERRA GRANDE R-30,0,0,0,0,1,1,0,0,0,7,6,13,6,2,8,0,0,0,0,0,0,22
0770,CROWLEY COUNTY RE-1-J,0,0,0,2,0,2,0,0,0,0,0,0,20,7,27,0,0,0,0,1,1,30
0860,CUSTER COUNTY SCHOOL DISTRICT C-1,0,0,0,0,0,0,0,0,0,0,0,0,23,8,31,0,0,0,1,0,1,32
0870,DELTA COUNTY 50(J),1,1,2,0,1,1,0,0,0,7,6,13,191,87,278,0,0,0,0,0,0,294
0880,DENVER COUNTY 1,17,6,23,62,23,85,155,77,232,714,236,950,"3,191","1,050","4,241",3,2,5,135,40,175,"5,711"
0890,DOLORES COUNTY RE NO.2,0,0,0,0,0,0,0,0,0,0,0,0,19,6,25,0,0,0,0,0,0,25
0900,DOUGLAS COUNTY RE 1,6,1,7,24,4,28,4,6,10,93,28,121,"2,590",695,"3,285",0,2,2,26,7,33,"3,486"
0910,EAGLE COUNTY RE 50,0,0,0,3,1,4,0,0,0,20,3,23,337,85,422,1,0,1,5,0,5,455
0920,ELIZABETH C-1,0,0,0,0,1,1,0,0,0,1,1,2,117,40,157,0,0,0,0,0,0,160
0930,KIOWA C-2,0,0,0,0,0,0,0,0,0,0,0,0,22,6,28,0,0,0,0,0,0,28
0940,BIG SANDY 100J,0,0,0,0,0,0,0,0,0,1,0,1,18,10,28,0,0,0,0,0,0,29
0950,ELBERT 200,0,0,0,0,0,0,0,1,1,0,0,0,15,4,19,0,0,0,0,0,0,20
0960,AGATE 300,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5
0970,CALHAN RJ-1,0,0,0,1,0,1,0,0,0,1,0,1,23,8,31,0,0,0,0,0,0,33
0980,HARRISON 2,2,1,3,8,2,10,24,4,28,29,6,35,452,143,595,1,0,1,15,5,20,692
0990,WIDEFIELD 3,2,0,2,2,2,4,12,4,16,27,6,33,362,98,460,3,0,3,14,0,14,532
1000,FOUNTAIN 8,3,1,4,9,1,10,16,11,27,25,10,35,350,93,443,0,0,0,0,0,0,519
1010,COLORADO SPRINGS 11,5,2,7,19,6,25,37,24,61,91,31,122,"1,153",363,"1,516",4,1,5,17,6,23,"1,759"
1020,CHEYENNE MOUNTAIN 12,2,0,2,0,0,0,1,0,1,8,4,12,253,81,334,0,0,0,3,0,3,352
1030,MANITOU SPRINGS 14,0,0,0,0,0,0,1,0,1,2,0,2,57,42,99,0,0,0,0,0,0,102
1040,ACADEMY 20,6,0,6,14,1,15,11,3,14,70,19,89,"1,109",329,"1,438",1,0,1,19,1,20,"1,583"
1050,ELLICOTT 22,0,0,0,0,1,1,0,1,1,1,3,4,45,16,61,0,0,0,0,1,1,68
1060,PEYTON 23 JT,0,0,0,0,0,0,0,0,0,1,1,2,32,9,41,0,0,0,0,0,0,43
1070,HANOVER 28,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,0,0,0,0,0,0,16
1080,LEWIS-PALMER 38,2,1,3,0,0,0,0,0,0,8,3,11,273,71,344,0,0,0,11,2,13,371
1110,FALCON 49,7,1,8,4,5,9,12,6,18,22,9,31,636,197,833,3,0,3,7,4,11,913
1120,EDISON 54 JT,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,0,0,0,0,0,0,12
1130,MIAMI/YODER 60 JT,0,0,0,0,0,0,0,1,1,0,0,0,13,8,21,0,0,0,0,0,0,22
1140,CANON CITY RE-1,0,0,0,0,0,0,1,0,1,1,5,6,164,63,227,0,0,0,0,0,0,234
1150,FREMONT RE-2,0,0,0,0,0,0,0,0,0,6,3,9,64,27,91,0,0,0,0,0,0,100
1160,COTOPAXI RE-3,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19,0,0,0,0,0,0,19
1180,ROARING FORK RE-1,0,0,0,4,0,4,0,0,0,18,4,22,271,75,346,0,0,0,0,0,0,372
1195,GARFIELD RE-2,0,0,0,1,0,1,0,0,0,6,3,9,189,90,279,0,0,0,0,2,2,291
1220,GARFIELD 16,0,0,0,0,1,1,0,0,0,0,1,1,42,16,58,0,0,0,0,0,0,60
1330,GILPIN COUNTY RE-1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,36,0,0,0,0,1,1,37
1340,WEST GRAND 1-JT.,0,0,0,0,0,0,0,0,0,0,0,0,31,8,39,0,0,0,0,0,0,39
1350,EAST GRAND 2,0,0,0,1,0,1,0,0,0,0,0,0,79,17,96,0,0,0,2,0,2,99
1360,GUNNISON WATERSHED RE1J,0,0,0,0,0,0,0,0,0,2,0,2,105,25,130,0,0,0,0,0,0,132
1380,HINSDALE COUNTY RE 1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,0,0,0,10
1390,HUERFANO RE-1,0,0,0,1,2,3,0,0,0,5,4,9,25,7,32,0,0,0,0,0,0,44
1400,LA VETA RE-2,0,0,0,0,0,0,0,0,0,2,0,2,14,4,18,0,0,0,0,0,0,20
1410,NORTH PARK R-1 ,0,0,0,0,1,1,0,0,0,1,0,1,13,4,17,0,0,0,0,0,0,19
1420,JEFFERSON COUNTY R-1,16,11,27,38,12,50,2,8,10,224,68,292,"3,303","1,076","4,379",6,2,8,51,13,64,"4,830"
1430,EADS RE-1,0,0,0,0,0,0,0,0,0,0,0,0,16,6,22,0,0,0,0,0,0,22
1440,PLAINVIEW RE-2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0,0,0,0,0,0,10
1450,ARRIBA-FLAGLER C-20,0,0,0,0,0,0,0,0,0,0,0,0,15,3,18,0,0,0,0,0,0,18
1460,HI-PLAINS R-23,0,0,0,0,0,0,0,0,0,0,0,0,13,3,16,0,0,0,0,0,0,16
1480,STRATTON R-4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,18,0,0,0,0,0,0,18
1490,BETHUNE R-5,0,0,0,0,1,1,0,0,0,0,1,1,11,3,14,0,0,0,0,0,0,16
1500,BURLINGTON RE-6J,0,0,0,0,0,0,0,0,0,2,0,2,32,18,50,0,0,0,0,1,1,53
1510,LAKE COUNTY R-1,0,0,0,0,0,0,0,0,0,2,0,2,39,16,55,0,0,0,0,0,0,57
1520,DURANGO 9-R,6,2,8,1,0,1,1,1,2,6,5,11,212,69,281,0,0,0,0,0,0,303
1530,BAYFIELD 10 JT-R,0,0,0,0,0,0,0,0,0,1,0,1,68,22,90,0,0,0,0,0,0,91
1540,IGNACIO 11 JT,0,0,0,0,0,0,0,0,0,5,4,9,43,14,57,0,0,0,0,0,0,66
1550,POUDRE R-1,2,2,4,8,5,13,3,3,6,61,30,91,"1,263",402,"1,665",0,0,0,4,2,6,"1,785"
1560,THOMPSON R2-J,3,0,3,7,2,9,0,1,1,22,14,36,656,211,867,0,0,0,0,0,0,916
1570,ESTES PARK R-3,0,0,0,0,0,0,0,0,0,3,1,4,60,24,84,1,0,1,1,0,1,90
1580,TRINIDAD 1,0,0,0,0,0,0,0,0,0,14,3,17,20,11,31,5,2,7,5,0,5,60
1590,PRIMERO REORGANIZED 2,1,0,1,0,0,0,0,0,0,5,0,5,8,5,13,0,0,0,0,0,0,19
1600,HOEHNE REORGANIZED 3,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23,0,0,0,0,0,0,23
1620,AGUILAR REORGANIZED 6,0,0,0,0,0,0,0,0,0,2,0,2,8,3,11,0,0,0,0,0,0,13
1750,BRANSON REORGANIZED 82,0,0,0,0,0,0,0,0,0,0,0,0,24,2,26,0,0,0,0,0,0,26
1760,KIM REORGANIZED 88,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0,0,0,0,0,0,10
1780,GENOA-HUGO C113,0,0,0,0,0,0,0,0,0,0,1,1,17,1,18,0,0,0,0,0,0,19
1790,LIMON RE-4J,0,0,0,0,0,0,0,0,0,0,0,0,24,9,33,0,0,0,0,0,0,33
1810,KARVAL RE-23,0,0,0,0,0,0,0,0,0,1,0,1,4,2,6,0,0,0,1,0,1,8
1828,VALLEY RE-1,0,0,0,0,1,1,0,0,0,2,2,4,115,28,143,0,0,0,0,1,1,149
1850,FRENCHMAN RE-3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19,0,0,0,0,0,0,19
1860,BUFFALO RE-4J,0,0,0,0,0,0,0,0,0,0,0,0,17,6,23,0,0,0,0,0,0,23
1870,PLATEAU RE-5,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17,1,0,1,0,0,0,18
1980,DE BEQUE 49JT,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,0,0,0,0,0,0,16
1990,PLATEAU VALLEY 50,0,1,1,0,0,0,0,0,0,0,0,0,24,7,31,0,0,0,0,0,0,32
2000,MESA COUNTY VALLEY 51,3,1,4,4,2,6,4,1,5,56,27,83,910,307,"1,217",4,0,4,4,0,4,"1,323"
2010,CREEDE SCHOOL DISTRICT,0,0,0,0,0,0,0,0,0,1,0,1,8,3,11,0,0,0,0,0,0,12
2020,MOFFAT COUNTY RE:NO 1,0,0,0,0,0,0,0,0,0,3,0,3,105,26,131,0,0,0,0,0,0,134
2035,MONTEZUMA-CORTEZ RE-1,6,0,6,0,0,0,0,0,0,8,2,10,114,41,155,0,0,0,0,0,0,171
2055,DOLORES RE-4A,0,0,0,0,0,0,0,0,0,4,0,4,35,14,49,0,0,0,0,0,0,53
2070,MANCOS RE-6,0,0,0,0,0,0,0,0,0,0,0,0,27,8,35,0,0,0,0,0,0,35
2180,MONTROSE COUNTY RE-1J,1,1,2,2,0,2,0,0,0,13,5,18,249,101,350,0,0,0,0,0,0,372
2190,WEST END RE-2,0,0,0,0,0,0,0,0,0,1,0,1,17,7,24,0,0,0,0,0,0,25
2395,BRUSH RE-2(J),0,0,0,1,0,1,1,0,1,10,4,14,57,19,76,0,0,0,0,0,0,92
2405,FORT MORGAN RE-3,0,0,0,0,1,1,0,0,0,9,1,10,141,49,190,0,0,0,0,0,0,201
2505,WELDON VALLEY RE-20(J),0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,0,0,0,1,0,1,17
2515,WIGGINS RE-50(J),0,0,0,0,0,0,0,0,0,0,1,1,19,12,31,0,0,0,0,0,0,32
2520,EAST OTERO R-1,0,0,0,0,0,0,0,0,0,10,0,10,56,14,70,0,0,0,0,1,1,81
2530,ROCKY FORD R-2,0,0,0,0,0,0,0,0,0,10,4,14,32,12,44,0,0,0,3,0,3,61
2535,MANZANOLA 3J,0,0,0,0,0,0,0,0,0,1,1,2,12,5,17,0,0,0,0,0,0,19
2540,FOWLER R-4J,0,0,0,0,0,0,0,0,0,2,2,4,19,11,30,0,0,0,1,0,1,35
2560,CHERAW 31,0,0,0,0,0,0,0,0,0,0,1,1,16,0,16,0,0,0,0,0,0,17
2570,SWINK 33,0,0,0,0,1,1,0,1,1,1,1,2,23,4,27,0,0,0,0,0,0,31
2580,OURAY R-1,0,0,0,0,0,0,0,0,0,0,0,0,22,5,27,0,0,0,0,0,0,27
2590,RIDGWAY R-2,0,0,0,0,0,0,0,0,0,0,0,0,22,10,32,0,0,0,0,0,0,32
2600,PLATTE CANYON 1,1,0,1,0,1,1,0,0,0,0,1,1,51,14,65,0,0,0,0,0,0,68
2610,PARK COUNTY RE-2,1,0,1,0,0,0,0,0,0,1,0,1,35,8,43,0,0,0,0,0,0,45
2620,HOLYOKE RE-1J,0,0,0,0,0,0,0,0,0,2,0,2,29,13,42,0,0,0,1,0,1,45
2630,HAXTUN RE-2J,0,0,0,0,0,0,0,0,0,0,0,0,18,8,26,0,0,0,0,0,0,26
2640,ASPEN 1,0,0,0,0,0,0,1,0,1,0,1,1,97,45,142,0,0,0,0,0,0,144
2650,GRANADA RE-1,0,0,0,0,0,0,0,0,0,2,2,4,13,4,17,0,0,0,0,0,0,21
2660,LAMAR RE-2,0,0,0,0,0,0,0,0,0,8,3,11,68,25,93,0,0,0,1,1,2,106
2670,HOLLY RE-3,0,0,0,0,0,0,0,0,0,0,0,0,19,5,24,0,0,0,0,0,0,24
2680,WILEY RE-13 JT,0,0,0,0,0,0,0,0,0,3,0,3,15,5,20,0,0,0,0,0,0,23
2690,PUEBLO CITY 60,6,2,8,5,3,8,8,6,14,194,70,264,546,160,706,1,0,1,4,2,6,"1,007"
2700,PUEBLO COUNTY 70,0,0,0,1,0,1,2,1,3,50,15,65,329,102,431,0,1,1,0,0,0,501
2710,MEEKER RE1,0,0,0,0,0,0,0,0,0,0,0,0,30,11,41,0,0,0,0,0,0,41
2720,RANGELY RE-4,0,0,0,0,0,0,0,0,0,0,0,0,20,14,34,0,0,0,0,0,0,34
2730,DEL NORTE C-7,0,0,0,0,0,0,0,0,0,5,6,11,13,12,25,0,0,0,0,0,0,36
2740,MONTE VISTA C-8,0,0,0,0,0,0,0,0,0,14,6,20,39,14,53,0,0,0,0,0,0,73
2750,SARGENT RE-33J,0,0,0,1,0,1,0,0,0,0,0,0,23,10,33,0,0,0,0,0,0,34
2760,HAYDEN RE-1,0,0,0,0,0,0,0,0,0,0,0,0,29,9,38,0,0,0,0,0,0,38
2770,STEAMBOAT SPRINGS RE-2,0,0,0,2,0,2,0,0,0,0,0,0,136,29,165,0,0,0,0,0,0,167
2780,SOUTH ROUTT RE 3,0,0,0,0,0,0,0,0,0,0,0,0,24,11,35,0,0,0,0,0,0,35
2790,MOUNTAIN VALLEY RE 1,0,0,0,1,0,1,0,0,0,1,0,1,11,3,14,0,0,0,0,0,0,16
2800,MOFFAT 2,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21,0,0,0,0,0,0,21
2810,CENTER 26 JT,0,0,0,0,0,0,0,1,1,9,5,14,19,12,31,0,0,0,0,0,0,46
2820,SILVERTON 1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,11
2830,TELLURIDE R-1,0,0,0,0,0,0,0,0,0,1,1,2,62,13,75,0,0,0,0,0,0,77
2840,NORWOOD R-2J,0,0,0,1,0,1,0,0,0,0,0,0,22,4,26,0,0,0,0,0,0,27
2862,JULESBURG RE-1,0,0,0,0,0,0,0,0,0,0,0,0,31,11,42,0,0,0,0,0,0,42
2865,PLATTE VALLEY RE-3,0,0,0,1,0,1,0,0,0,0,0,0,10,5,15,0,0,0,0,0,0,16
3000,SUMMIT RE-1,1,0,1,0,0,0,0,0,0,10,3,13,168,42,210,0,0,0,0,0,0,224
3010,CRIPPLE CREEK-VICTOR RE-1,0,0,0,0,0,0,0,0,0,0,0,0,24,5,29,0,0,0,0,0,0,29
3020,WOODLAND PARK RE-2,0,0,0,0,0,0,0,0,0,0,2,2,106,36,142,0,0,0,0,0,0,144
3030,AKRON R-1,0,0,0,0,0,0,0,0,0,1,0,1,19,6,25,0,0,0,0,0,0,26
3040,ARICKAREE R-2,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14,0,0,0,1,0,1,15
3050,OTIS R-3,0,0,0,0,0,0,0,0,0,0,0,0,15,6,21,0,0,0,0,0,0,21
3060,LONE STAR 101,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17,0,0,0,0,0,0,17
3070,WOODLIN R-104,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,0,0,0,0,0,0,13
3080,WELD COUNTY RE-1,0,0,0,0,0,0,1,0,1,7,4,11,93,29,122,0,0,0,1,0,1,135
3085,EATON RE-2,0,0,0,0,0,0,0,0,0,1,1,2,88,25,113,0,0,0,1,0,1,116
3090,KEENESBURG RE-3(J),3,0,3,0,0,0,0,0,0,3,1,4,116,22,138,0,0,0,0,0,0,145
3100,WINDSOR RE-4,0,0,0,4,1,5,0,0,0,6,0,6,237,60,297,0,0,0,0,2,2,310
3110,JOHNSTOWN-MILLIKEN RE-5J,0,0,0,0,0,0,0,0,0,4,0,4,138,48,186,0,0,0,0,0,0,190
3120,GREELEY 6,4,0,4,8,3,11,4,5,9,110,27,137,776,240,"1,016",1,0,1,1,0,1,"1,179"
3130,PLATTE VALLEY RE-7,0,0,0,0,0,0,0,0,0,0,1,1,66,15,81,0,0,0,0,0,0,82
3140,WELD COUNTY S/D RE-8,0,0,0,0,0,0,1,0,1,19,6,25,92,24,116,0,0,0,0,2,2,144
3145,AULT-HIGHLAND RE-9,0,0,0,0,0,0,0,0,0,0,2,2,41,17,58,0,0,0,0,0,0,60
3146,BRIGGSDALE RE-10,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,0,0,0,0,0,0,17
3147,PRAIRIE RE-11,0,0,0,0,0,0,0,0,0,1,0,1,14,5,19,0,0,0,0,0,0,20
3148,PAWNEE RE-12,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16,0,0,0,0,0,0,16
3200,YUMA 1,0,0,0,0,1,1,0,0,0,0,0,0,49,11,60,2,1,3,0,0,0,64
3210,WRAY RD-2,0,0,0,0,0,0,0,0,0,1,0,1,38,10,48,0,0,0,0,0,0,49
3220,IDALIA RJ-3,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19,0,0,0,0,0,0,19
3230,LIBERTY J-4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5
8001,CHARTER SCHOOL INSTITUTE,1,0,1,15,2,17,6,3,9,47,18,65,490,179,669,0,0,0,3,3,6,767
9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,0,0,0,0,0,0,0,0,0,2,0,2,28,9,37,0,0,0,0,0,0,39
9025,EAST CENTRAL BOCES,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7
9030,MOUNTAIN BOCES,0,0,0,1,0,1,0,1,1,1,0,1,95,17,112,0,0,0,0,0,0,115
9035,CENTENNIAL BOCES,0,0,0,0,0,0,1,0,1,0,0,0,12,3,15,0,0,0,0,0,0,16
9040,NORTHEAST BOCES,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3
9045,PIKES PEAK BOCES,0,0,0,0,0,0,0,1,1,0,0,0,15,4,19,0,0,0,1,0,1,21
9050,SAN JUAN BOCES,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,0,0,0,0,0,0,27
9055,SAN LUIS VALLEY BOCES,0,0,0,0,1,1,0,0,0,1,0,1,11,0,11,0,0,0,0,0,0,13
9060,SOUTH CENTRAL BOCES,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,9
9075,SOUTHEASTERN BOCES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
9095,NORTHWEST COLO BOCES,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5
9125,RIO BLANCO BOCES,0,0,0,1,0,1,0,0,0,0,0,0,6,1,7,0,0,0,0,0,0,8
9130,EXPEDITIONARY BOCES,0,0,0,0,0,0,0,0,0,0,0,0,18,11,29,0,0,0,0,0,0,29
9145,UNCOMPAHGRE BOCS,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4
9150,SANTA FE TRAIL BOCES,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,5
9165,UTE PASS BOCES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
9170,COLORADO DIGITAL BOCES,1,0,1,1,0,1,1,0,1,2,0,2,29,6,35,0,0,0,0,0,0,40
Grand Total,,135,41,176,434,133,567,442,242,684,"3,055","1,044","4,099","35,231","11,084","46,315",97,19,116,465,138,603,"52,560"
,,,,,,,,,,,,,,,,,,,,,,,
